;dataset;preprocessing;vectorization;sampling;clustering;random_seed;V050v__iteration;V050v__sampling_time;V050v__clustering_time;V050v__total_time;V050v__constraints_must_link;V050v__constraints_cannot_link;V050v__constraints_total;V050v__constraints_ratio_must_link;V060v__iteration;V060v__sampling_time;V060v__clustering_time;V060v__total_time;V060v__constraints_must_link;V060v__constraints_cannot_link;V060v__constraints_total;V060v__constraints_ratio_must_link;V070v__iteration;V070v__sampling_time;V070v__clustering_time;V070v__total_time;V070v__constraints_must_link;V070v__constraints_cannot_link;V070v__constraints_total;V070v__constraints_ratio_must_link;V080v__iteration;V080v__sampling_time;V080v__clustering_time;V080v__total_time;V080v__constraints_must_link;V080v__constraints_cannot_link;V080v__constraints_total;V080v__constraints_ratio_must_link;V090v__iteration;V090v__sampling_time;V090v__clustering_time;V090v__total_time;V090v__constraints_must_link;V090v__constraints_cannot_link;V090v__constraints_total;V090v__constraints_ratio_must_link;V095v__iteration;V095v__sampling_time;V095v__clustering_time;V095v__total_time;V095v__constraints_must_link;V095v__constraints_cannot_link;V095v__constraints_total;V095v__constraints_ratio_must_link;V099v__iteration;V099v__sampling_time;V099v__clustering_time;V099v__total_time;V099v__constraints_must_link;V099v__constraints_cannot_link;V099v__constraints_total;V099v__constraints_ratio_must_link;V100v__iteration;V100v__sampling_time;V100v__clustering_time;V100v__total_time;V100v__constraints_must_link;V100v__constraints_cannot_link;V100v__constraints_total;V100v__constraints_ratio_must_link;VMAX__iteration;VMAX__sampling_time;VMAX__clustering_time;VMAX__total_time;VMAX__constraints_must_link;VMAX__constraints_cannot_link;VMAX__constraints_total;VMAX__constraints_ratio_must_link
../experiments/bank_cards_v1/filter_prep/fr_core_news_md/closest-50/hier_avg-10c/0001/;bank_cards_v1;filter_prep;fr_core_news_md;closest-50;hier_avg-10c;1;39;32.95024132728577;3343.400017976761;3376.3502593040466;387;1563;1950;0.19846153846153847;45;38.16585922241211;3510.119226694107;3548.285085916519;453;1797;2250;0.20133333333333334;57;46.762118101119995;3759.082729578018;3805.844847679138;493;2357;2850;0.17298245614035088;65;52.443493366241455;3863.3901467323303;3915.833640098572;562;2688;3250;0.17292307692307693;77;61.288841247558594;3967.530949115753;4028.8197903633118;617;3233;3850;0.16025974025974027;81;64.09018635749817;3987.473064184189;4051.563250541687;646;3404;4050;0.15950617283950616;94;73.91244745254517;4038.5644783973694;4112.476925849915;658;4042;4700;0.14;105;81.48296475410461;4070.283200263977;4151.766165018082;660;4590;5250;0.12571428571428572;130;100.63540601730347;4116.655003070831;4217.290409088135;810;5682;6492;0.12476894639556377
../experiments/bank_cards_v1/filter_prep/fr_core_news_md/closest-50/hier_comp-10c/0001/;bank_cards_v1;filter_prep;fr_core_news_md;closest-50;hier_comp-10c;1;34;25.47389245033264;615.5375854969025;641.0114779472351;435;1265;1700;0.25588235294117645;44;32.78942847251892;653.4310705661774;686.2204990386963;572;1628;2200;0.26;52;39.36070656776428;672.5389897823334;711.8996963500977;640;1960;2600;0.24615384615384617;57;42.933334827423096;678.5114238262177;721.4447586536407;715;2135;2850;0.25087719298245614;63;47.11045503616333;683.0736396312714;730.1840946674347;818;2332;3150;0.2596825396825397;65;49.130988121032715;684.181679725647;733.3126678466797;858;2392;3250;0.264;67;50.46881604194641;685.3050165176392;735.7738325595856;884;2466;3350;0.2638805970149254;68;51.14011597633362;686.65851354599;737.7986295223236;897;2503;3400;0.2638235294117647;70;53.112431049346924;688.1221225261688;741.2345535755157;947;2505;3452;0.2743337195828505
../experiments/bank_cards_v1/filter_prep/fr_core_news_md/closest-50/hier_sing-10c/0001/;bank_cards_v1;filter_prep;fr_core_news_md;closest-50;hier_sing-10c;1;51;37.59723782539368;1169.8263819217682;1207.4236197471619;212;2338;2550;0.08313725490196078;66;48.37237548828125;1326.2763314247131;1374.6487069129944;284;3016;3300;0.08606060606060606;100;73.35577964782715;1552.4271082878113;1625.7828879356384;363;4637;5000;0.0726;120;88.41271781921387;1643.5481927394867;1731.9609105587006;401;5599;6000;0.06683333333333333;142;104.25541973114014;1715.7165656089783;1819.9719853401184;433;6667;7100;0.060985915492957746;151;110.6781075000763;1740.9217021465302;1851.5998096466064;440;7110;7550;0.05827814569536424;185;136.28320288658142;1827.6750724315643;1963.9582753181458;451;8799;9250;0.04875675675675676;211;155.5597984790802;1888.4934289455414;2044.0532274246216;453;10097;10550;0.04293838862559242;292;217.08055019378662;2057.5868525505066;2274.667402744293;703;13856;14559;0.04828628339858507
../experiments/bank_cards_v1/filter_prep/fr_core_news_md/closest-50/hier_ward-10c/0001/;bank_cards_v1;filter_prep;fr_core_news_md;closest-50;hier_ward-10c;1;37;32.92054557800293;660.3199536800385;693.2404992580414;542;1308;1850;0.292972972972973;40;35.031519651412964;667.7222406864166;702.7537603378296;600;1400;2000;0.3;47;39.97003674507141;680.1665012836456;720.136538028717;681;1669;2350;0.2897872340425532;51;42.87953448295593;684.8997840881348;727.7793185710907;764;1786;2550;0.2996078431372549;53;44.257330656051636;687.6176781654358;731.8750088214874;786;1864;2650;0.29660377358490564;55;45.61211347579956;688.9544939994812;734.5666074752808;817;1933;2750;0.29709090909090907;58;47.73404145240784;690.5969948768616;738.3310363292694;847;2053;2900;0.2920689655172414;59;48.50306034088135;691.1143569946289;739.6174173355103;853;2097;2950;0.28915254237288135;61;50.31726050376892;692.1521949768066;742.4694554805756;903;2110;3013;0.29970129439097243
../experiments/bank_cards_v1/filter_prep/fr_core_news_md/closest-50/kmeans_COP-10c/0001/;bank_cards_v1;filter_prep;fr_core_news_md;closest-50;kmeans_COP-10c;1;36;26.895459175109863;1687.3397397994995;1714.2351989746094;565;1235;1800;0.3138888888888889;38;28.3180890083313;1747.4961426258087;1775.81423163414;591;1309;1900;0.31105263157894736;43;31.838178873062134;1884.5611176490784;1916.3992965221405;655;1495;2150;0.30465116279069765;48;35.493565797805786;1997.5342919826508;2033.0278577804565;735;1665;2400;0.30625;50;37.020153760910034;2034.6035461425781;2071.623699903488;758;1742;2500;0.3032;52;38.366214752197266;2066.424008131027;2104.7902228832245;783;1817;2600;0.30115384615384616;54;41.32613277435303;2093.9644384384155;2135.2905712127686;806;1894;2700;0.2985185185185185;55;42.244632720947266;2108.449943304062;2150.694576025009;810;1940;2750;0.29454545454545455;57;43.92768955230713;2134.2067761421204;2178.1344656944275;860;1945;2805;0.3065953654188948
../experiments/bank_cards_v1/filter_prep/fr_core_news_md/closest-50/spectral_SPEC-10c/0001/;bank_cards_v1;filter_prep;fr_core_news_md;closest-50;spectral_SPEC-10c;1;47;252.24257397651672;1831.0529556274414;2083.295529603958;362;1988;2350;0.15404255319148935;56;291.8544638156891;2203.5140147209167;2495.368478536606;446;2354;2800;0.15928571428571428;64;332.8996114730835;2526.220204591751;2859.1198160648346;540;2660;3200;0.16875;78;390.85152292251587;3044.392102241516;3435.243625164032;702;3198;3900;0.18;96;457.2866189479828;3721.193512439728;4178.480131387711;1059;3693;4752;0.22285353535353536;96;457.2866189479828;3721.193512439728;4178.480131387711;1059;3693;4752;0.22285353535353536;96;457.2866189479828;3721.193512439728;4178.480131387711;1059;3693;4752;0.22285353535353536;96;457.2866189479828;3721.193512439728;4178.480131387711;1059;3693;4752;0.22285353535353536;96;457.2866189479828;3721.193512439728;4178.480131387711;1059;3693;4752;0.22285353535353536
../experiments/bank_cards_v1/filter_prep/fr_core_news_md/farthest-50/hier_avg-10c/0001/;bank_cards_v1;filter_prep;fr_core_news_md;farthest-50;hier_avg-10c;1;47;26.87985920906067;4642.00386095047;4668.883720159531;396;1954;2350;0.16851063829787233;66;36.674376010894775;5313.899543046951;5350.573919057846;729;2571;3300;0.22090909090909092;80;44.38460373878479;5562.349200725555;5606.73380446434;950;3050;4000;0.2375;92;50.14355540275574;5666.24125957489;5716.384814977646;1122;3478;4600;0.24391304347826087;101;55.00578570365906;5691.0006313323975;5746.0064170360565;1319;3731;5050;0.2611881188118812;106;57.336979150772095;5696.379512548447;5753.716491699219;1387;3913;5300;0.26169811320754716;113;60.62653827667236;5700.479065895081;5761.105604171753;1495;4155;5650;0.2646017699115044;118;63.1737265586853;5703.038702964783;5766.212429523468;1562;4297;5859;0.2665983956306537;119;63.6370005607605;5703.538333892822;5767.175334453583;1612;4297;5909;0.27280419698764596
../experiments/bank_cards_v1/filter_prep/fr_core_news_md/farthest-50/hier_comp-10c/0001/;bank_cards_v1;filter_prep;fr_core_news_md;farthest-50;hier_comp-10c;1;71;37.801506996154785;1455.859391450882;1493.6608984470367;685;2865;3550;0.19295774647887323;86;45.25312614440918;1534.7398025989532;1579.9929287433624;865;3435;4300;0.20116279069767443;97;50.66949987411499;1570.7987034320831;1621.4682033061981;1076;3774;4850;0.2218556701030928;123;65.86641955375671;1620.8672504425049;1686.7336699962616;1403;4747;6150;0.228130081300813;137;72.6702070236206;1634.7573702335358;1707.4275772571564;1667;5183;6850;0.24335766423357663;142;75.01117324829102;1637.6401336193085;1712.6513068675995;1765;5335;7100;0.24859154929577465;150;80.45437812805176;1641.7801675796509;1722.2345457077026;1890;5539;7429;0.25440839951541255;152;81.39150834083557;1642.802016735077;1724.1935250759125;1931;5550;7481;0.2581205721160273;153;81.8479392528534;1643.3158798217773;1725.1638190746307;1980;5550;7530;0.26294820717131473
../experiments/bank_cards_v1/filter_prep/fr_core_news_md/farthest-50/hier_sing-10c/0001/;bank_cards_v1;filter_prep;fr_core_news_md;farthest-50;hier_sing-10c;1;44;26.00883197784424;1083.6642923355103;1109.6731243133545;401;1799;2200;0.18227272727272728;57;32.57777810096741;1172.8676300048828;1205.4454081058502;579;2271;2850;0.2031578947368421;73;40.554405212402344;1240.199740409851;1280.7541456222534;805;2845;3650;0.22054794520547946;87;47.51499581336975;1270.6721603870392;1318.187156200409;1026;3324;4350;0.23586206896551723;98;52.8796660900116;1282.8229730129242;1335.7026391029358;1259;3641;4900;0.2569387755102041;107;57.455851554870605;1288.9288711547852;1346.3847227096558;1358;3992;5350;0.25383177570093457;112;59.806641817092896;1291.7694461345673;1351.5760879516602;1521;4079;5600;0.2716071428571429;116;61.81282949447632;1293.8160305023193;1355.6288599967957;1581;4219;5800;0.2725862068965517;117;62.67727756500244;1294.330001592636;1357.0072791576385;1630;4219;5849;0.2786801162591896
../experiments/bank_cards_v1/filter_prep/fr_core_news_md/farthest-50/hier_ward-10c/0001/;bank_cards_v1;filter_prep;fr_core_news_md;farthest-50;hier_ward-10c;1;60;35.905986070632935;1202.4274282455444;1238.3334143161774;533;2467;3000;0.17766666666666667;84;48.28218722343445;1356.7978274822235;1405.080014705658;816;3384;4200;0.19428571428571428;95;53.589640378952026;1399.8003191947937;1453.3899595737457;967;3783;4750;0.20357894736842105;112;63.30866360664368;1434.8321931362152;1498.140856742859;1249;4351;5600;0.22303571428571428;126;69.83731150627136;1448.4687209129333;1518.3060324192047;1499;4801;6300;0.23793650793650795;136;74.65914869308472;1455.41202378273;1530.0711724758148;1660;5140;6800;0.24411764705882352;144;79.83619093894958;1460.1064584255219;1539.9426493644714;1856;5316;7172;0.2587841606246514;146;80.75886392593384;1461.1254086494446;1541.8842725753784;1906;5318;7224;0.26384274640088595;147;81.23404693603516;1461.6501824855804;1542.8842294216156;1956;5318;7274;0.2689029419851526
