;dataset_name;dataset_size;dataset_random_seed;algorithm_name;algorithm_random_seed;time_start;time_stop;time_total
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/filter_prep-rand_1/;bank_cards_v2;1000;1;filter_prep;1;1668606138;1668606148;10,64548898
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/filter_prep-rand_2/;bank_cards_v2;1000;1;filter_prep;2;1668606138;1668606148;10,60468197
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/filter_prep-rand_3/;bank_cards_v2;1000;1;filter_prep;3;1668606148;1668606155;6,896929026
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/filter_prep-rand_4/;bank_cards_v2;1000;1;filter_prep;4;1668606148;1668606155;6,832410097
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/filter_prep-rand_5/;bank_cards_v2;1000;1;filter_prep;5;1668606148;1668606155;6,849232197
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/lemma_prep-rand_1/;bank_cards_v2;1000;1;lemma_prep;1;1668606138;1668606148;10,63116717
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/lemma_prep-rand_2/;bank_cards_v2;1000;1;lemma_prep;2;1668606138;1668606148;10,61990499
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/lemma_prep-rand_3/;bank_cards_v2;1000;1;lemma_prep;3;1668606138;1668606148;10,42343998
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/lemma_prep-rand_4/;bank_cards_v2;1000;1;lemma_prep;4;1668606148;1668606155;6,854967117
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/lemma_prep-rand_5/;bank_cards_v2;1000;1;lemma_prep;5;1668606148;1668606155;6,806318998
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/simple_prep-rand_1/;bank_cards_v2;1000;1;simple_prep;1;1668606138;1668606148;10,45754504
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/simple_prep-rand_2/;bank_cards_v2;1000;1;simple_prep;2;1668606138;1668606148;10,40822315
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/simple_prep-rand_3/;bank_cards_v2;1000;1;simple_prep;3;1668606138;1668606148;10,40580606
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/simple_prep-rand_4/;bank_cards_v2;1000;1;simple_prep;4;1668606148;1668606155;6,870061874
../experiments/preprocessing/bank_cards_v2-size_1000-rand_1/simple_prep-rand_5/;bank_cards_v2;1000;1;simple_prep;5;1668606148;1668606155;6,768188953
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/filter_prep-rand_1/;bank_cards_v2;1000;2;filter_prep;1;1668606155;1668606163;7,570728064
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/filter_prep-rand_2/;bank_cards_v2;1000;2;filter_prep;2;1668606155;1668606162;6,614529133
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/filter_prep-rand_3/;bank_cards_v2;1000;2;filter_prep;3;1668606155;1668606163;7,414741993
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/filter_prep-rand_4/;bank_cards_v2;1000;2;filter_prep;4;1668606162;1668606169;6,80185914
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/filter_prep-rand_5/;bank_cards_v2;1000;2;filter_prep;5;1668606163;1668606169;6,823735952
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/lemma_prep-rand_1/;bank_cards_v2;1000;2;lemma_prep;1;1668606155;1668606162;7,357829094
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/lemma_prep-rand_2/;bank_cards_v2;1000;2;lemma_prep;2;1668606155;1668606162;7,483469963
../experiments/preprocessing/bank_cards_v2-size_1000-rand_2/lemma_prep-rand_3/;bank_cards_v2;1000;2;lemma_prep;3;1668606155;1668606162;6,625850916
