;dataset_name;dataset_size;dataset_random_seed;algorithm_name;algorithm_random_seed;time_start;time_stop;time_total
../experiments/vectorization/bank_cards_v2-size_1000-rand_1/spacy-rand_1/;bank_cards_v2;1000;1;spacy;1;1668606299;1668606306;6,537537098
../experiments/vectorization/bank_cards_v2-size_1000-rand_1/spacy-rand_2/;bank_cards_v2;1000;1;spacy;2;1668606299;1668606305;5,80898118
../experiments/vectorization/bank_cards_v2-size_1000-rand_1/spacy-rand_3/;bank_cards_v2;1000;1;spacy;3;1668606299;1668606305;5,67790699
../experiments/vectorization/bank_cards_v2-size_1000-rand_1/spacy-rand_4/;bank_cards_v2;1000;1;spacy;4;1668606300;1668606306;6,582015991
../experiments/vectorization/bank_cards_v2-size_1000-rand_1/spacy-rand_5/;bank_cards_v2;1000;1;spacy;5;1668606306;1668606312;6,184442997
../experiments/vectorization/bank_cards_v2-size_1000-rand_1/tfidf-rand_1/;bank_cards_v2;1000;1;tfidf;1;1668606299;1668606300;0,096023083
../experiments/vectorization/bank_cards_v2-size_1000-rand_1/tfidf-rand_2/;bank_cards_v2;1000;1;tfidf;2;1668606298;1668606299;0,079613924
../experiments/vectorization/bank_cards_v2-size_1000-rand_1/tfidf-rand_3/;bank_cards_v2;1000;1;tfidf;3;1668606298;1668606298;0,120130062
../experiments/vectorization/bank_cards_v2-size_1000-rand_1/tfidf-rand_4/;bank_cards_v2;1000;1;tfidf;4;1668606298;1668606298;0,080543041
../experiments/vectorization/bank_cards_v2-size_1000-rand_1/tfidf-rand_5/;bank_cards_v2;1000;1;tfidf;5;1668606305;1668606305;0,075374842
../experiments/vectorization/bank_cards_v2-size_1000-rand_2/spacy-rand_1/;bank_cards_v2;1000;2;spacy;1;1668606312;1668606318;5,975170851
../experiments/vectorization/bank_cards_v2-size_1000-rand_2/spacy-rand_2/;bank_cards_v2;1000;2;spacy;2;1668606312;1668606318;5,805444002
../experiments/vectorization/bank_cards_v2-size_1000-rand_2/spacy-rand_3/;bank_cards_v2;1000;2;spacy;3;1668606313;1668606318;5,728419065
../experiments/vectorization/bank_cards_v2-size_1000-rand_2/spacy-rand_4/;bank_cards_v2;1000;2;spacy;4;1668606314;1668606320;5,922353983
../experiments/vectorization/bank_cards_v2-size_1000-rand_2/spacy-rand_5/;bank_cards_v2;1000;2;spacy;5;1668606320;1668606326;5,867105007
../experiments/vectorization/bank_cards_v2-size_1000-rand_2/tfidf-rand_1/;bank_cards_v2;1000;2;tfidf;1;1668606305;1668606305;0,079252005
../experiments/vectorization/bank_cards_v2-size_1000-rand_2/tfidf-rand_2/;bank_cards_v2;1000;2;tfidf;2;1668606312;1668606312;0,080833197
