;dataset;dataset_reference;dataset_size;dataset_file_name;preprocessing;vectorization;sampling;clustering;random_seed;V050v__iteration;V050v__sampling_time;V050v__clustering_time;V050v__total_time;V050v__constraints_must_link;V050v__constraints_cannot_link;V050v__constraints_total;V050v__constraints_ratio_must_link;V060v__iteration;V060v__sampling_time;V060v__clustering_time;V060v__total_time;V060v__constraints_must_link;V060v__constraints_cannot_link;V060v__constraints_total;V060v__constraints_ratio_must_link;V070v__iteration;V070v__sampling_time;V070v__clustering_time;V070v__total_time;V070v__constraints_must_link;V070v__constraints_cannot_link;V070v__constraints_total;V070v__constraints_ratio_must_link;V080v__iteration;V080v__sampling_time;V080v__clustering_time;V080v__total_time;V080v__constraints_must_link;V080v__constraints_cannot_link;V080v__constraints_total;V080v__constraints_ratio_must_link;V090v__iteration;V090v__sampling_time;V090v__clustering_time;V090v__total_time;V090v__constraints_must_link;V090v__constraints_cannot_link;V090v__constraints_total;V090v__constraints_ratio_must_link;V095v__iteration;V095v__sampling_time;V095v__clustering_time;V095v__total_time;V095v__constraints_must_link;V095v__constraints_cannot_link;V095v__constraints_total;V095v__constraints_ratio_must_link;V099v__iteration;V099v__sampling_time;V099v__clustering_time;V099v__total_time;V099v__constraints_must_link;V099v__constraints_cannot_link;V099v__constraints_total;V099v__constraints_ratio_must_link;V100v__iteration;V100v__sampling_time;V100v__clustering_time;V100v__total_time;V100v__constraints_must_link;V100v__constraints_cannot_link;V100v__constraints_total;V100v__constraints_ratio_must_link;VMAX__iteration;VMAX__sampling_time;VMAX__clustering_time;VMAX__total_time;VMAX__constraints_must_link;VMAX__constraints_cannot_link;VMAX__constraints_total;VMAX__constraints_ratio_must_link
../experiments/bank_cards_v2-size_1000-rand_1/simple_prep/tfidf/closest-50/kmeans_COP-10c/0001/;bank_cards_v2-size_1000-rand_1;bank_cards_v2;1000;French_trainset_for_chatbots_dealing_with_usual_requests_on_bank_cards_v2.0.0.xlsx;simple_prep;tfidf;closest-50;kmeans_COP-10c;0001;0003;3.795548915863037;53.67450714111328;57.47005605697632;142;8;150;0.9466666666666667;0020;24.25158977508545;485.000839471817;509.25242924690247;829;171;1000;0.829;0021;25.452544927597046;545.5771374702454;571.0296823978424;867;183;1050;0.8257142857142857;0023;27.852699041366577;606.8593332767487;634.7120323181152;930;220;1150;0.808695652173913;0034;40.022034645080566;834.8019523620605;874.8239870071411;1299;401;1700;0.7641176470588236;0035;41.109190702438354;861.758914232254;902.8681049346924;1349;401;1750;0.7708571428571429;0036;42.14735460281372;862.5389273166656;904.6862819194794;1371;429;1800;0.7616666666666667;0046;51.92026662826538;868.2043044567108;920.1245710849762;1568.0;732.0;2300.0;0.6817391304347826;0052;59.27617049217224;870.5370733737946;929.8132438659668;1668;930;2598;0.6420323325635104
../experiments/bank_cards_v2-size_1000-rand_1/simple_prep/tfidf/closest-50/kmeans_COP-10c/0002/;bank_cards_v2-size_1000-rand_1;bank_cards_v2;1000;French_trainset_for_chatbots_dealing_with_usual_requests_on_bank_cards_v2.0.0.xlsx;simple_prep;tfidf;closest-50;kmeans_COP-10c;0002;0006;7.855432987213135;110.06637620925903;117.92180919647217;271;29;300;0.9033333333333333;0021;26.68626880645752;858.8598439693451;885.5461127758026;873;177;1050;0.8314285714285714;0023;29.05272603034973;972.4212090969086;1001.4739351272583;933;217;1150;0.811304347826087;0027;33.82405209541321;1116.2012071609497;1150.025259256363;1091;259;1350;0.8081481481481482;0032;39.36825513839722;1221.4809410572052;1260.8491961956024;1260;340;1600;0.7875;0036;43.543946266174316;1250.0895450115204;1293.6334912776947;1351;449;1800;0.7505555555555555;0048;55.67159843444824;1256.9630961418152;1312.6346945762634;1568;832;2400;0.6533333333333333;0048;55.67159843444824;1256.9630961418152;1312.6346945762634;1568.0;832.0;2400.0;0.6533333333333333;0052;60.86679744720459;1258.6929664611816;1319.5597639083862;1618;933;2551;0.6342610740885927
../experiments/bank_cards_v2-size_1000-rand_1/simple_prep/tfidf/closest-50/kmeans_COP-10c/0003/;bank_cards_v2-size_1000-rand_1;bank_cards_v2;1000;French_trainset_for_chatbots_dealing_with_usual_requests_on_bank_cards_v2.0.0.xlsx;simple_prep;tfidf;closest-50;kmeans_COP-10c;0003;0012;14.521361827850342;301.74243116378784;316.2637929916382;530;70;600;0.8833333333333333;0019;22.778775930404663;486.5648980140686;509.34367394447327;810;140;950;0.8526315789473684;0023;27.595511198043823;719.0000896453857;746.5956008434296;965;185;1150;0.8391304347826087;0025;29.920331239700317;816.6429674625397;846.56329870224;1012;238;1250;0.8096;0031;36.82762265205383;911.7888865470886;948.6165091991425;1253;297;1550;0.8083870967741935;0034;40.024653673172;944.2903995513916;984.3150532245636;1308;392;1700;0.7694117647058824;0037;43.16356611251831;1000.2013206481934;1043.3648867607117;1398;452;1850;0.7556756756756757;0050;56.3134548664093;1007.7201099395752;1064.0335648059845;1698.0;802.0;2500.0;0.6792;0053;60.196255683898926;1008.8850839138031;1069.081339597702;1748;858;2606;0.6707597851112816
../experiments/bank_cards_v2-size_1000-rand_1/simple_prep/tfidf/closest-50/kmeans_COP-10c/0004/;bank_cards_v2-size_1000-rand_1;bank_cards_v2;1000;French_trainset_for_chatbots_dealing_with_usual_requests_on_bank_cards_v2.0.0.xlsx;simple_prep;tfidf;closest-50;kmeans_COP-10c;0004;0015;18.909248113632202;335.84027647972107;354.74952459335327;658;92;750;0.8773333333333333;0017;21.490093231201172;506.1389672756195;527.6290605068207;733;117;850;0.8623529411764705;0023;28.984926223754883;915.3110525608063;944.2959787845612;949;201;1150;0.8252173913043478;0024;30.179551362991333;970.2205226421356;1000.400074005127;980;220;1200;0.8166666666666667;0029;36.17942023277283;1110.2825441360474;1146.4619643688202;1153;297;1450;0.7951724137931034;0035;42.77867102622986;1116.9699840545654;1159.7486550807953;1348;402;1750;0.7702857142857142;0041;49.34302067756653;1121.2964923381805;1170.639513015747;1473;577;2050;0.7185365853658536;0050;58.97924041748047;1126.2689185142517;1185.2481589317322;1723.0;777.0;2500.0;0.6892;0053;63.03895163536072;1127.4990620613098;1190.5380136966705;1773;832;2605;0.6806142034548944
../experiments/bank_cards_v2-size_1000-rand_1/simple_prep/tfidf/closest-50/kmeans_COP-10c/0005/;bank_cards_v2-size_1000-rand_1;bank_cards_v2;1000;French_trainset_for_chatbots_dealing_with_usual_requests_on_bank_cards_v2.0.0.xlsx;simple_prep;tfidf;closest-50;kmeans_COP-10c;0005;0012;14.877699375152588;477.6089503765106;492.4866497516632;522;78;600;0.87;0019;24.212406873703003;970.5449740886688;994.7573809623718;812;138;950;0.8547368421052631;0021;26.677088975906372;1091.5313069820404;1118.2083959579468;884;166;1050;0.8419047619047619;0024;30.265127897262573;1200.127388715744;1230.3925166130066;988;212;1200;0.8233333333333334;0026;32.767369985580444;1249.0658967494965;1281.833266735077;1057;243;1300;0.813076923076923;0032;39.53653621673584;1256.3813526630402;1295.917888879776;1208;392;1600;0.755;0044;52.415935754776;1322.6813974380493;1375.0973331928253;1507;693;2200;0.685;0048;56.683085441589355;1325.0428104400635;1381.7258958816528;1647.0;753.0;2400.0;0.68625;0062;71.79973912239075;1331.1159582138062;1402.915697336197;1747;1304;3051;0.5725991478203868
../experiments/bank_cards_v2-size_1000-rand_2/simple_prep/tfidf/closest-50/kmeans_COP-10c/0001/;bank_cards_v2-size_1000-rand_2;bank_cards_v2;1000;French_trainset_for_chatbots_dealing_with_usual_requests_on_bank_cards_v2.0.0.xlsx;simple_prep;tfidf;closest-50;kmeans_COP-10c;0001;0003;3.808140993118286;52.52940320968628;56.337544202804565;142;8;150;0.9466666666666667;0020;25.04430317878723;487.1303107738495;512.1746139526367;829;171;1000;0.829;0021;26.29344916343689;547.4266407489777;573.7200899124146;867;183;1050;0.8257142857142857;0023;28.68073010444641;609.1211185455322;637.8018486499786;930;220;1150;0.808695652173913;0034;41.05656552314758;835.792439699173;876.8490052223206;1299;401;1700;0.7641176470588236;0035;42.177608489990234;863.1984536647797;905.3760621547699;1349;401;1750;0.7708571428571429;0036;43.25912547111511;863.985518693924;907.2446441650391;1371;429;1800;0.7616666666666667;0046;53.218204498291016;869.7194194793701;922.9376239776611;1568.0;732.0;2300.0;0.6817391304347826;0052;60.54766225814819;872.0175335407257;932.5651957988739;1668;930;2598;0.6420323325635104
../experiments/bank_cards_v2-size_1000-rand_2/simple_prep/tfidf/closest-50/kmeans_COP-10c/0002/;bank_cards_v2-size_1000-rand_2;bank_cards_v2;1000;French_trainset_for_chatbots_dealing_with_usual_requests_on_bank_cards_v2.0.0.xlsx;simple_prep;tfidf;closest-50;kmeans_COP-10c;0002;0006;7.961738586425781;110.02671194076538;117.98845052719116;271;29;300;0.9033333333333333;0021;26.74409317970276;856.9718294143677;883.7159225940704;873;177;1050;0.8314285714285714;0023;29.202611207962036;969.9197573661804;999.1223685741425;933;217;1150;0.811304347826087;0027;33.9812445640564;1113.8805882930756;1147.861832857132;1091;259;1350;0.8081481481481482;0032;39.58800649642944;1219.4396357536316;1259.027642250061;1260;340;1600;0.7875;0036;43.7440927028656;1247.7763078212738;1291.5204005241394;1351;449;1800;0.7505555555555555;0048;55.715097427368164;1254.6458129882812;1310.3609104156494;1568;832;2400;0.6533333333333333;0048;55.715097427368164;1254.6458129882812;1310.3609104156494;1568.0;832.0;2400.0;0.6533333333333333;0052;60.94778370857239;1256.3638598918915;1317.3116436004639;1618;933;2551;0.6342610740885927
../experiments/bank_cards_v2-size_1000-rand_2/simple_prep/tfidf/closest-50/kmeans_COP-10c/0003/;bank_cards_v2-size_1000-rand_2;bank_cards_v2;1000;French_trainset_for_chatbots_dealing_with_usual_requests_on_bank_cards_v2.0.0.xlsx;simple_prep;tfidf;closest-50;kmeans_COP-10c;0003;0012;14.625782489776611;303.2831928730011;317.9089753627777;530;70;600;0.8833333333333333;0019;23.1291766166687;487.5872848033905;510.7164614200592;810;140;950;0.8526315789473684;0023;27.94248628616333;721.1174657344818;749.0599520206451;965;185;1150;0.8391304347826087;0025;30.328708171844482;820.4680516719818;850.7967598438263;1012;238;1250;0.8096;0031;37.33439111709595;916.8474264144897;954.1818175315857;1253;297;1550;0.8083870967741935;0034;40.72347617149353;950.4199013710022;991.1433775424957;1308;392;1700;0.7694117647058824;0037;43.90181517601013;1005.3007094860077;1049.2025246620178;1398;452;1850;0.7556756756756757;0050;57.218491315841675;1012.8399140834808;1070.0584053993225;1698.0;802.0;2500.0;0.6792;0053;61.20683240890503;1014.1576991081238;1075.3645315170288;1748;858;2606;0.6707597851112816
../experiments/bank_cards_v2-size_1000-rand_2/simple_prep/tfidf/closest-50/kmeans_COP-10c/0004/;bank_cards_v2-size_1000-rand_2;bank_cards_v2;1000;French_trainset_for_chatbots_dealing_with_usual_requests_on_bank_cards_v2.0.0.xlsx;simple_prep;tfidf;closest-50;kmeans_COP-10c;0004;0015;19.350606441497803;337.4250099658966;356.7756164073944;658;92;750;0.8773333333333333;0017;21.86074137687683;495.8932001590729;517.7539415359497;733;117;850;0.8623529411764705;0023;29.449384212493896;901.3226144313812;930.7719986438751;949;201;1150;0.8252173913043478;0024;30.679742097854614;956.9273173809052;987.6070594787598;980;220;1200;0.8166666666666667;0029;36.69096231460571;1098.5242371559143;1135.21519947052;1153;297;1450;0.7951724137931034;0035;43.406928300857544;1105.2947583198547;1148.7016866207123;1348;402;1750;0.7702857142857142;0041;49.99308180809021;1109.6473338603973;1159.6404156684875;1473;577;2050;0.7185365853658536;0050;59.627750396728516;1114.6874675750732;1174.3152179718018;1723.0;777.0;2500.0;0.6892;0053;64.00558233261108;1115.9377446174622;1179.9433269500732;1773;832;2605;0.6806142034548944
../experiments/bank_cards_v2-size_1000-rand_2/simple_prep/tfidf/closest-50/kmeans_COP-10c/0005/;bank_cards_v2-size_1000-rand_2;bank_cards_v2;1000;French_trainset_for_chatbots_dealing_with_usual_requests_on_bank_cards_v2.0.0.xlsx;simple_prep;tfidf;closest-50;kmeans_COP-10c;0005;0012;15.061201095581055;492.9544451236725;508.01564621925354;522;78;600;0.87;0019;23.876935958862305;995.6392343044281;1019.5161702632904;812;138;950;0.8547368421052631;0021;26.33137607574463;1118.4919683933258;1144.8233444690704;884;166;1050;0.8419047619047619;0024;29.992055416107178;1227.5749533176422;1257.5670087337494;988;212;1200;0.8233333333333334;0026;32.38907241821289;1277.2930393218994;1309.6821117401123;1057;243;1300;0.813076923076923;0032;39.4784300327301;1284.6874132156372;1324.1658432483673;1208;392;1600;0.755;0044;52.49642872810364;1351.9537484645844;1404.450177192688;1507;693;2200;0.685;0048;57.04934096336365;1354.6329855918884;1411.682326555252;1647.0;753.0;2400.0;0.68625;0062;73.1960597038269;1360.9786026477814;1434.1746623516083;1747;1304;3051;0.5725991478203868
